participant_id	source_id
sub-01	P01
sub-02	P02
sub-03	P03
sub-04	P04
sub-05	P05
sub-06	P06
sub-07	P07
sub-08	n/a
sub-09	P08
sub-10	P09
sub-11	P10
sub-12	P11
